"ID" "trait1" "trait2"
"sample1" 79.52 73.17
"sample2" 81.44 92.27
"sample3" 70.17 78.06
"sample4" 79.81 83.03
"sample5" 65.53 41.33
"sample6" 88.31 84.77
"sample7" 71.64 53.9
"sample8" 79.93 57.01
"sample9" 64.45 48.55
"sample10" 69.11 47.8
"sample11" 88.63 104.75
"sample12" 71.76 54.02
"sample13" 69.63 78.59
"sample14" 70.05 68.84
"sample15" 73.84 47.25
"sample16" 66.23 55.05
"sample17" 64.12 42.75
"sample18" 66.27 50.33
"sample19" 64.82 67.48
"sample20" 69.91 72.27
"sample21" 75.47 85.22
"sample22" 67.5 60.8
"sample23" 85.57 76.08
"sample24" 78.2 75.27
"sample25" 70.52 54.05
"sample26" 74.3 54.25
"sample27" 77.52 62.75
"sample28" 73.76 76.41
"sample29" 73.57 63.53
"sample30" 71.7 67.19
"sample31" 72.96 82.45
"sample32" 74.36 72.04
"sample33" 74.85 53.75
"sample34" 80.78 79.57
"sample35" 73.5 53.91
"sample36" 62.55 51.63
"sample37" 77.21 74.1
"sample38" 73.95 83.32
"sample39" 75.02 75.93
"sample40" 72.21 65.84
"sample41" 72.68 55.91
"sample42" 75.96 67.44
"sample43" 76.04 73.6
"sample44" 77.68 75.97
"sample45" 75.54 59.36
"sample46" 71.66 55.01
"sample47" 62.41 49.13
"sample48" 69.04 74.52
"sample49" 70.25 43.82
"sample50" 81.43 71.65
"sample51" 78.06 72.39
"sample52" 78.98 77.13
"sample53" 81.81 78.34
"sample54" 78.98 82.75
"sample55" 80.98 82.3
"sample56" 83.92 54.67
"sample57" 63.81 51.54
"sample58" 58.41 34.2
"sample59" 64.68 36.45
"sample60" 95.54 106.28
"sample61" 85.68 68.41
"sample62" 89.43 105.18
"sample63" 98.55 81.61
"sample64" 81.83 76.94
"sample65" 84.73 108.4
"sample66" 86.76 93.51
"sample67" 87.6 80.28
"sample68" 77.95 51.52
"sample69" 92.48 91.17
"sample70" 88.3 71.65
"sample71" 93.45 80.76
"sample72" 110.04 88.22
"sample73" 99.1 102.86
"sample74" 96.04 108.69
"sample75" 104.56 66.8
"sample76" 91.09 89.17
"sample77" 107.87 88.14
"sample78" 98.28 101.2
"sample79" 93.16 85
"sample80" 86.84 97.75
"sample81" 94.28 97.55
"sample82" 82.97 75.66
"sample83" 81.99 64.63
"sample84" 87.04 95.09
"sample85" 90.41 97.33
"sample86" 86.51 76.46
"sample87" 84.69 103.26
"sample88" 91.31 95.33
"sample89" 90.92 86
"sample90" 102.85 92.64
"sample91" 99.33 94.77
"sample92" 93.87 111.05
"sample93" 121.18 87.27
"sample94" 88.28 83.33
"sample95" 85.26 73.5
"sample96" 84.78 79.18
"sample97" 82.28 87.05
"sample98" 60.08 42.68
"sample99" 61.22 43.44
"sample100" 62.71 41.74
